CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
41129890,4106902,Curitiba,PR,675.22,156,COLEGIO INTERNACIONAL DE CURITIBA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO
51067471,5107909,Sinop,MT,675.03,157,PPE - PRINA PITT ESCOLA
33322201,3304557,Rio de Janeiro,RJ,674.73,158,ESCOLA SESC DE ENSINO MEDIO
52094235,5208707,Goiânia,GO,674.69,159,COLEGIO OLIMPO
35132287,3550308,São Paulo,SP,674.14,160,POLIEDRO COLEGIO
22025715,2211001,Teresina,PI,674.05,161,COLEGIO OBJETIVO S-S
28032322,2800308,Aracaju,SE,673.94,162,CENTRO DE EXCELENCIA MASTER
26181231,2611606,Recife,PE,673.91,163,COLEGIO FAZER CRESCER - ENSINO MEDIO
33163863,3306305,Volta Redonda,RJ,673.72,164,GARRA VESTIBULARES ASSESSORIA EDUCACIONAL LTDA
15229408,1501402,Belém,PA,673.65,165,SISTEMA DE ENSINO EQUIPE
35134806,3550308,São Paulo,SP,673.64,166,ETAPA COLEGIO DE EFM
31184349,3169901,Ubá,MG,673.56,167,COLEGIO LOSANGO DE UBA
22027173,2211001,Teresina,PI,673.32,168,COLEGIO PROCAMPUS
33139954,3303302,Niterói,RJ,673.13,169,ASSOCIACAO EDUCACIONAL SOARES ALMEIDA SC
31102385,3113305,Carangola,MG,672.93,170,ESC SERVITA REGINA PACIS
26119730,2611606,Recife,PE,672.92,171,ESCOLA DE APLICACAO DO RECIFE - FCAP UPE
42024480,4206900,Ibirama,SC,672.86,172,COLEGIO HAMONIA
23334266,2304400,Fortaleza,CE,672.73,173,FARIAS BRITO PRE VESTIBULAR ALDEOTA
31294110,3106200,Belo Horizonte,MG,672.58,174,COL MAGNUM AGOSTINIANO BURITIS
31318426,3170206,Uberlândia,MG,672.54,175,COLEGIO OLIMPO
33065365,3304557,Rio de Janeiro,RJ,672.36,176,ESCOLA NOVA GAVEA
33101582,3304557,Rio de Janeiro,RJ,672.26,177,COL MV1 ANDERSON ANEXO
28017820,2800308,Aracaju,SE,672.23,178,COLEGIO DO SALVADOR
31217123,3106200,Belo Horizonte,MG,672.14,179,COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO
33110328,3304557,Rio de Janeiro,RJ,672.1,180,COLEGIO PH
52097676,5208707,Goiânia,GO,671.83,181,COLEGIO SIMBIOS
33058164,3303500,Nova Iguaçu,RJ,671.51,182,CENTRO EDUCACIONAL LOGOS
31293687,3170701,Varginha,MG,671.49,183,COLEGIO MARISTA - VARGINHA
33155216,3303302,Niterói,RJ,671.41,184,CPII - CAMPUS NITEROI
33022267,3303401,Nova Friburgo,RJ,671.18,185,EXTERNATO SANTA IGNEZ
28032799,2800308,Aracaju,SE,670.97,186,IDEAL CURSOS E COLEGIO
53012860,5300108,Brasília,DF,670.84,187,COL GALOIS
52033210,5208707,Goiânia,GO,670.73,188,COLEGIO AGOSTINIANO NS DE FATIMA
35107773,3550308,São Paulo,SP,670.56,189,SUICO BRASILEIRA SAO PAULO ESCOLA
33249202,3304557,Rio de Janeiro,RJ,670.44,190,COLEGIO PH
41071921,4104808,Cascavel,PR,670.43,191,ALFA AVENIDA C EF M
35449003,3543402,Ribeirão Preto,SP,670.26,192,FAAP RIBEIRAO PRETO COLEGIO
31245488,3106200,Belo Horizonte,MG,669.96,193,UNIDADE BH - CAMPUS I
35159487,3526902,Limeira,SP,669.94,194,PORTINARI DE ENSINO FUNDAMENTTAL COLEGIO
33085846,3304557,Rio de Janeiro,RJ,669.76,195,ESC BRETANHA JD INFANCIA TIO CARECA
29422248,2927408,Salvador,BA,669.62,196,COLEGIO ANGLO BRASILEIRO
31291030,3106200,Belo Horizonte,MG,669.55,197,COLEGIO MILITAR DE BELO HORIZONTE
35103524,3550308,São Paulo,SP,669.47,198,DANTE ALIGHIERI COLEGIO
33447250,3306305,Volta Redonda,RJ,669.25,199,COLEGIO INTERATIVO ENSINO MEDIO
26197405,2611606,Recife,PE,669.24,200,COLEGIO EMINENTE - CENTRO EDUCACIONAL LTDA
35132007,3501608,Americana,SP,669.19,201,ANTARES COLEGIO
31004359,3106200,Belo Horizonte,MG,669.15,202,COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA
31356816,3136702,Juiz de Fora,MG,669.11,203,COLEGIO APOGEU UNIDADE II DE ENSINO MEDIO
31333361,3168705,Timóteo,MG,669.02,204,CEFET-MG - UNED TIMOTEO
24057134,2408102,Natal,RN,668.98,205,COLEGIO MARISTA DE NATAL
23069864,2304400,Fortaleza,CE,668.74,206,ARI DE SA CAVALCANTE COLEGIO - DUQUE DE CAXIAS
31322873,3106200,Belo Horizonte,MG,668.74,207,COLEGIUM UNID STA AMELIA
31231916,3143203,Monte Santo de Minas,MG,668.66,208,ESCOLA DEGRAUS
33068488,3304557,Rio de Janeiro,RJ,668.58,209,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS RIO DE JANEIRO
31275531,3170206,Uberlândia,MG,668.54,210,COLEGIO BATISTA MINEIRO
13032020,1302603,Manaus,AM,668.49,211,LAVINIENSE ENSINO INTEGRADO E CE PINGO DE GENTE
31004278,3106200,Belo Horizonte,MG,668.19,212,ESTA - ESCOLA STO TOMAS DE AQUINO
17055024,1721000,Palmas,TO,668.17,213,COLEGIO OLIMPO UNIDADE II
35107165,3550308,São Paulo,SP,667.98,214,PIONEIRO CENTRO EDUCACIONAL
35158689,3501905,Amparo,SP,667.96,215,VILLA LOBOS COLEGIO
31244457,3106200,Belo Horizonte,MG,667.79,216,COLEGIO SANTA MARIA NOVA SUICA
22025391,2211001,Teresina,PI,667.56,217,ESCOLA DOM BOSCO
35371543,3549805,São José do Rio Preto,SP,667.4,218,OSWALDO CRUZ COLEGIO RIO PRETO COC UNID II
31268259,3167202,Sete Lagoas,MG,667.31,219,SESI CAT OTONI A DA COSTA UNID II
35105600,3550308,São Paulo,SP,667.13,220,SANTO AMERICO COLEGIO
35105648,3550308,São Paulo,SP,667.1,221,PORTO SEGURO VISCONDE COLEGIO
